Values,info
Fine sediment,"Very fine friable sediment, loosely compacted and principally soil, loam or similar."
Sandy sediment,"Sandy sediment, variable grain size, clearly sand and derived from local parent material (e.g. shelter itself) or that comprises wider landform pattern for this locality (e.g. on sandplains)"
Scree,"Poorly consolidated gravel, rock and stones that have accumulated at the base of a slope"
Consolidated material,"Highly compacted sand, sediment or stone (etc)"
Bedrock,"Solid stone, or large slabs of stone"
