Values,Info
Earth dominant,Mound matrix is &gt; 70% sediment (aka earth mound)
Shell dominant,Mound matrix is &gt; 70% shell or shell fragments (aka shell mound)
Sand dominant,Mound matrix is &gt;70% sand
Mixed,Mound matrix is mixed (describe below)
Unknown,Mound matrix obscured (e.g. by surface vegetation)
