Values,Info
Amorphous,Core shape does not conform to categories below
Bipolar,"A core with flakes typically struck from a platform, while the opposite surface is held against an anvil, creating impact damage (e.g. crushing) on the distal surface"
Horsehoof,"Discoidal, high-domed core with step and hinge fractures along a single, circular or ovate, platform"
Microblade,"Parallel elongate flake scars, each 2x longer than width, on a typically very small core (&lt;10cm). Used to produce bladelets as a component for geometric microliths and backed blades"
Burin blade core,"Produced from a flake that is similar in form to a burin, but with bladelets removed from the proximal end"
