Value,Info
Unknown,
Triangular Chamfered,
Rhomboid,
Hexagonal,
Symmetrical Octagonal,
Flat Octagonal,
Dodecahedron,
Round,
Round Flattened,
Round Ribbed,
Round Fluted,
Oval,
Ovoid,
Flattened Oval,
Kidney,
SQUARE,
Square Rounded,
Square Diamond,
Square Chamfered,
Square Concave Chamfered,
Rectangular,
Square Flared,
Square Chamfered,
Square Rounded,
Square recessed,
