Values,Info
Cooktown ironwood,Erythrophleum chlorostachys
Redgum,Eucalyptus camaldulensis
Black box,Eucalyptus largiflorens
Sandalwood,Santulum spp.
Paperbark,Melaleuca spp.
Tamarind,Tamarindus indica
Mango,Mangifera indica
Other,"Please provide common language and scientific name in annotation, where possible."
