Value,Info
Indeterminate,
Not applicable,Item type has no finish
External screw thread,
Internal screw thread,
Unfinished,
Blob top,
Single collar ring seal,
Single collar,
Double collar,
Crown seal,
Club sauce,
Prescription lip,
Flared lip,
Two-part,
one-part,
Three-part,
Straight finish folded-in lip,
Flanged,
Applied,
