Values,Info
RIM,Rim or marley only
BODY,Body sherd or side
BASE,Base or footing only
BODYBase,Body and base
BODYRim,Body and rim
HANDLE,Handle
LID,Lid
NECK,Neck only
NECKfin,Neck and finish
FINISH,Finish only
SHOULDNECK,Shoulder and neck
FIN_SHOUL_NCK,Finish shoulder and neck
SHOULDER,Shoulder only
PIPEBOWL,Pipe bowl
PIPESTEM,Pipe stem
OTHER,Other please describe
