Value,Info
None observed,
Open,"An open fire, built directly on ground surface, not demarcated with stones, and lacking heat retainers"
Bounded,"An open fire, built directly on ground surface, but with stones or other materials placed around edge of hearth"
PIt,"A fire built in a pit, but lacking evidence of the use of heat retainers"
Earth oven,"A fire built in a pit, with heat retainers evident indicating its use as an earth oven"
Enclosed,"A fire built in an enclosed setting, for example, within a brick, stone or metal enclosure"
