Values,Info
Tor,A freestanding rock outcrop that rises abruptly from a gently rounded hill or ridge top
Escarpment,"Shelter within a typically long, and steep cliff that demarcates two differing areas of vegetation"
Mesa,A prominent elevated area with a relatively flat top but steep sides
Inselburg,"A prominent residual relief feature that rises, like an island, from adjacent surrounding plains"
Other,Please describe in annotations
