Value,Info
Bottle,Any bottle type
Tableware,"Glass plates, saucers, cups or other such tableware items"
Stemware,"Glass artefacts with stems, such as wine glasses"
Condiments,"Artefacts used for storing salt, spices, sauces, etc"
Tumbler,Tumbler or shot glass
Lamp,Lamp glass
Window,Window glass
Other,Other please describe
