Value,Info
Environmental feature,Environmental feature that is of interest
Potential Archaeological Deposit,"Potential deposit, not associated with other feature type. For example, a rockshelter with no art or surface artefacts, but that has excavatable deposits present"
Preliminary feature record,"A preliminary recording of a feature, made due to time or other constrains, and that requires subsequent detailed recording "
Ethnographic site,"A place with either contemporary or historic cultural values, for example, a place associated with an historic or remembered events, a named place, a story place or a significant named landscape feature"
Other feature or site,Provide information in annotations
