Value,Info
Landscape,One or more burials with no observed evidence of landscape modification or built structures. Typically associated with Indigenous pre-colonial burials
Isolated,"Isolated burial/s, outside of a formal cemetary, and typically associated with a short-term endeavour or one off event"
Formal cemetery,"Formal burial area, typically associated with a small township, church or centrally administered body (e.g. council), with multiple burials"
Discrete burials,Use for phase 2 recording of individual burial plots only.
