Value,Info
Indeterminate,Core fragment with flake initiation unclear
Unidirectional core,"Flake scars originate from a single platform, and all flakes struck in the same direction"
Bidirectional core,"A core with two platforms, opposite each other, with flakes struck from each platform, and thus from opposite directions"
Bifacial core,"Single platform core, but flakes struck from two core faces"
Multidirectional core,"Two or more platforms, with no clear pattern in platform or scar orientation"
