Value,Info
Unmodified/undecorated (i.e. none),
Annular (thick and thin rings on body and rim),
Edge banded (thin rings on rim only),
Moulded - relief,
Moulded - rim (e.g. scalloped),
Transfer printing only,
Handpainting only,
Handpainted and moulded,
Transfer printing w/- hand painting,
Transfer printing with moulding,
Flow transfer print,
Sprigged,
Decal,
Mocha,
Gilt/tea leaf,
Slip (single coloured glaze),
Spongeware,
Cut sponge print (stamped),
Lustre,
Embossed,
Moulded with single colour slip,
N/A,
