values,Info
Teaware,Teaware
Tableware,Tableware
Kitchenware,Kitchenware
Fooddrink,Food or drink storage
Drinking,Drinking other than teaware
Personal,Personal or hygenic items
Dairy,Dairy related
House,Household general
