Value,Info
None present,
Glass,Glass items or sherds
Ceramic,Ceramic items or sherds
Metal,Metal items or fragments
Stone artefacts,"Stone flakes, cores, grindstones, pounders, etc"
Stone manuports,"Stones, with no evidence of utilisation or use, and not part of a stone border (e.g. placing a stone on grave)"
Faunal materials,"Shells, animal teeth, egg shells, etc"
Ochre,Ochre observed
