Values,Info
Charcoal,Fragments of charcoal larger than 10 mm in diameter occur
Ashy sediment,"Sediment composed of any combination of detrital charcoal, ash, darkened sediment"
Shellfish,Any shellfish remains
Other fauna,"Any other kind of faunal remains (e.g. otoliths, teeth)"
Metal,Metal artefacts or fragments
Glass,Any glass items
Ceramic,Any ceramic items
Brick,Any brick
Stone flakes,Flake pieces
Stone cores,Stone cores
Other,Any other material present
