Value,Info
Absent,Select this if the platform is absent (e.g. medial flakes)
Natural,"An unmodified natural surface, typically with cortex, though not exclusively"
Flaked,A platform surface that has been flaked prior to removal of the flake being analysed
Abraded,A platform surface that has been ground against a harder surface
